,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021500030,555,203546,Ian Clark,1610612744,Golden State Warriors,4,3,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-68,242,1,0
1,Shot Chart Detail,0021500030,575,203546,Ian Clark,1610612744,Golden State Warriors,4,1,51,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,86,95,1,1
2,Shot Chart Detail,0021500030,591,203546,Ian Clark,1610612744,Golden State Warriors,4,0,29,Missed Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,16,1,0
3,Shot Chart Detail,0021500051,467,203546,Ian Clark,1610612744,Golden State Warriors,4,7,35,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-92,41,1,1
4,Shot Chart Detail,0021500051,483,203546,Ian Clark,1610612744,Golden State Warriors,4,5,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,73,174,1,1
5,Shot Chart Detail,0021500051,513,203546,Ian Clark,1610612744,Golden State Warriors,4,3,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,21,1,1
6,Shot Chart Detail,0021500051,538,203546,Ian Clark,1610612744,Golden State Warriors,4,1,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-178,208,1,1
7,Shot Chart Detail,0021500083,234,203546,Ian Clark,1610612744,Golden State Warriors,2,4,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,32,198,1,0
8,Shot Chart Detail,0021500083,241,203546,Ian Clark,1610612744,Golden State Warriors,2,3,35,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,11,1,0
9,Shot Chart Detail,0021500120,288,203546,Ian Clark,1610612744,Golden State Warriors,2,0,1,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,240,-29,1,0
10,Shot Chart Detail,0021500125,123,203546,Ian Clark,1610612744,Golden State Warriors,2,11,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,61,244,1,1
11,Shot Chart Detail,0021500125,132,203546,Ian Clark,1610612744,Golden State Warriors,2,10,49,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-6,1,0
12,Shot Chart Detail,0021500125,134,203546,Ian Clark,1610612744,Golden State Warriors,2,10,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-151,208,1,1
13,Shot Chart Detail,0021500125,142,203546,Ian Clark,1610612744,Golden State Warriors,2,9,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-202,154,1,0
14,Shot Chart Detail,0021500144,102,203546,Ian Clark,1610612744,Golden State Warriors,2,11,42,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,63,65,1,0
15,Shot Chart Detail,0021500144,109,203546,Ian Clark,1610612744,Golden State Warriors,2,10,40,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-7,110,1,0
16,Shot Chart Detail,0021500144,350,203546,Ian Clark,1610612744,Golden State Warriors,4,10,40,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-7,67,1,1
17,Shot Chart Detail,0021500144,353,203546,Ian Clark,1610612744,Golden State Warriors,4,10,2,Missed Shot,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,21,1,0
18,Shot Chart Detail,0021500164,146,203546,Ian Clark,1610612744,Golden State Warriors,2,10,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-81,254,1,1
19,Shot Chart Detail,0021500164,150,203546,Ian Clark,1610612744,Golden State Warriors,2,9,38,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-115,75,1,0
20,Shot Chart Detail,0021500164,157,203546,Ian Clark,1610612744,Golden State Warriors,2,8,39,Missed Shot,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,41,1,0
21,Shot Chart Detail,0021500177,423,203546,Ian Clark,1610612744,Golden State Warriors,4,10,30,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,24,85,1,0
22,Shot Chart Detail,0021500200,447,203546,Ian Clark,1610612744,Golden State Warriors,4,9,31,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,11,1,1
23,Shot Chart Detail,0021500200,449,203546,Ian Clark,1610612744,Golden State Warriors,4,9,9,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,1
24,Shot Chart Detail,0021500200,456,203546,Ian Clark,1610612744,Golden State Warriors,4,8,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-225,134,1,0
25,Shot Chart Detail,0021500214,436,203546,Ian Clark,1610612744,Golden State Warriors,4,4,7,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,194,170,1,0
26,Shot Chart Detail,0021500214,450,203546,Ian Clark,1610612744,Golden State Warriors,4,2,57,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,9,100,1,0
27,Shot Chart Detail,0021500214,451,203546,Ian Clark,1610612744,Golden State Warriors,4,2,56,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,0
28,Shot Chart Detail,0021500236,214,203546,Ian Clark,1610612744,Golden State Warriors,2,3,49,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,-11,1,1
29,Shot Chart Detail,0021500236,420,203546,Ian Clark,1610612744,Golden State Warriors,4,11,40,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-24,18,1,0
30,Shot Chart Detail,0021500236,451,203546,Ian Clark,1610612744,Golden State Warriors,4,8,30,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,31,1,0
31,Shot Chart Detail,0021500236,496,203546,Ian Clark,1610612744,Golden State Warriors,4,5,5,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,1
32,Shot Chart Detail,0021500236,516,203546,Ian Clark,1610612744,Golden State Warriors,4,3,33,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-70,72,1,1
33,Shot Chart Detail,0021500236,522,203546,Ian Clark,1610612744,Golden State Warriors,4,2,57,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,0,1,0
34,Shot Chart Detail,0021500236,561,203546,Ian Clark,1610612744,Golden State Warriors,4,0,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,104,223,1,0
35,Shot Chart Detail,0021500245,483,203546,Ian Clark,1610612744,Golden State Warriors,4,5,9,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-109,228,1,1
