,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
76,Shot Chart Detail,0021500848,88,2760,Anderson Varejao,1610612744,Golden State Warriors,1,4,13,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,66,134,1,0
77,Shot Chart Detail,0021500848,108,2760,Anderson Varejao,1610612744,Golden State Warriors,1,2,24,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,9,47,1,0
78,Shot Chart Detail,0021500855,97,2760,Anderson Varejao,1610612744,Golden State Warriors,1,2,50,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,16,1,0
79,Shot Chart Detail,0021500855,126,2760,Anderson Varejao,1610612744,Golden State Warriors,1,0,31,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,9,1,1
80,Shot Chart Detail,0021500855,371,2760,Anderson Varejao,1610612744,Golden State Warriors,3,4,38,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,7,1,0
81,Shot Chart Detail,0021500855,382,2760,Anderson Varejao,1610612744,Golden State Warriors,3,3,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-68,159,1,0
82,Shot Chart Detail,0021500855,408,2760,Anderson Varejao,1610612744,Golden State Warriors,3,0,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,16,1,1
83,Shot Chart Detail,0021500874,107,2760,Anderson Varejao,1610612744,Golden State Warriors,1,0,20,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,0
84,Shot Chart Detail,0021500874,397,2760,Anderson Varejao,1610612744,Golden State Warriors,4,10,24,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,-1,1,0
85,Shot Chart Detail,0021500895,150,2760,Anderson Varejao,1610612744,Golden State Warriors,2,10,52,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,11,1,1
